信号日,代码,名称,板块,买入价,卖出日,卖出价,收益%,持有交易日,卖出方式,当时周期
2019-11-20,603496,恒为科技,C39计算机、通信和其他电子设备制造业,13.6705492,2019-11-21,13.04,-4.78,1,没涨停→尾盘卖,恐慌期
2019-11-21,603555,ST贵人,,3.86,2019-11-25,4.68,21.09,2,再涨停→次日早盘卖,平淡期
2019-11-25,000671,ST阳光城,,6.48920909,2019-11-26,6.2,-4.59,1,没涨停→尾盘卖,恐慌期
2019-11-25,000717,中南股份,C31黑色金属冶炼和压延加工业,4.05760212,2019-11-26,3.99,-1.86,1,没涨停→尾盘卖,恐慌期
2019-11-25,600425,青松建化,C30非金属矿物制品业,3.18371766,2019-11-26,3.22,0.94,1,没涨停→尾盘卖,恐慌期
2019-12-03,000622,恒立退,,4.94,2019-12-04,5.11,3.29,1,没涨停→尾盘卖,平淡期
2019-12-03,600277,ST亿利,,3.05318208,2019-12-04,3.0,-1.83,1,没涨停→尾盘卖,平淡期
2019-12-05,603516,淳中科技,C39计算机、通信和其他电子设备制造业,25.84443904,2019-12-06,25.29,-2.3,1,没涨停→尾盘卖,平淡期
2019-12-06,002288,*ST超华,,4.92,2019-12-09,4.96,0.66,1,没涨停→尾盘卖,平淡期
2019-12-09,603028,赛福天,C33金属制品业,8.46676908,2019-12-10,8.63,1.81,1,没涨停→尾盘卖,恐慌期
2019-12-11,002231,*ST奥维,,7.52,2019-12-12,7.6,0.91,1,没涨停→尾盘卖,平淡期
2019-12-11,600136,ST明诚,R87广播、电视、电影和录音制作业,10.95,2019-12-12,10.89,-0.7,1,没涨停→尾盘卖,平淡期
2019-12-12,000823,超声电子,C39计算机、通信和其他电子设备制造业,10.7698651,2019-12-13,10.79,0.02,1,没涨停→尾盘卖,平淡期
